Genotype Pop Male2 Female2
P1 Parents 0 0
P2 Parents 0 0
P3 Parents 0 0
P4 Parents 0 0
P5 Parents 0 0
P6 Parents 0 0
P7 Parents 0 0
P8 Parents 0 0
P9 Parents 0 0
P10 Parents 0 0
P11 Parents 0 0
P12 Parents 0 0
P13 Parents 0 0
P14 Parents 0 0
P15 Parents 0 0
P16 Parents 0 0
P17 Parents 0 0
P18 Parents 0 0
P19 Parents 0 0
P20 Parents 0 0
P21 Parents 0 0
P22 Parents 0 0
P23 Parents 0 0
P24 Parents 0 0
P25 Parents 0 0
P26 Parents 0 0
P27 Parents 0 0
P28 Parents 0 0
P29 Parents 0 0
P30 Parents 0 0
ID1_sim Fam01 P5 P16
ID2_sim Fam01 P5 P16
ID3_sim Fam01 P5 P16
ID4_sim Fam01 P5 P16
ID5_sim Fam01 P5 P16
ID6_sim Fam02 P5 P1
ID7_sim Fam02 P5 P1
ID8_sim Fam02 P5 P1
ID9_sim Fam02 P5 P1
ID10_sim Fam02 P5 P1
ID11_sim Fam03 P6 P17
ID12_sim Fam03 P6 P17
ID13_sim Fam03 P6 P17
ID14_sim Fam03 P6 P17
ID15_sim Fam03 P6 P17
ID16_sim Fam04 P6 P1
ID17_sim Fam04 P6 P1
ID18_sim Fam04 P6 P1
ID19_sim Fam04 P6 P1
ID20_sim Fam04 P6 P1
ID21_sim Fam05 P7 P1
ID22_sim Fam05 P7 P1
ID23_sim Fam05 P7 P1
ID24_sim Fam05 P7 P1
ID25_sim Fam05 P7 P1
ID26_sim Fam06 P4 P18
ID27_sim Fam06 P4 P18
ID28_sim Fam06 P4 P18
ID29_sim Fam06 P4 P18
ID30_sim Fam06 P4 P18
ID31_sim Fam07 P4 P17
ID32_sim Fam07 P4 P17
ID33_sim Fam07 P4 P17
ID34_sim Fam07 P4 P17
ID35_sim Fam07 P4 P17
ID36_sim Fam08 P25 P18
ID37_sim Fam08 P25 P18
ID38_sim Fam08 P25 P18
ID39_sim Fam08 P25 P18
ID40_sim Fam08 P25 P18
ID41_sim Fam09 P8 P17
ID42_sim Fam09 P8 P17
ID43_sim Fam09 P8 P17
ID44_sim Fam09 P8 P17
ID45_sim Fam09 P8 P17
ID46_sim Fam10 P8 P18
ID47_sim Fam10 P8 P18
ID48_sim Fam10 P8 P18
ID49_sim Fam10 P8 P18
ID50_sim Fam10 P8 P18
ID51_sim Fam11 P9 P17
ID52_sim Fam11 P9 P17
ID53_sim Fam11 P9 P17
ID54_sim Fam11 P9 P17
ID55_sim Fam11 P9 P17
ID56_sim Fam12 P24 P17
ID57_sim Fam12 P24 P17
ID58_sim Fam12 P24 P17
