Marker Chrom Pos_start
Chr1SNP43 1 1.40822
Chr1SNP135 1 4.958905
Chr1SNP165 1 5.923288
Chr1SNP182 1 6.690411
Chr1SNP184 1 6.767124
Chr1SNP228 1 8.323288
Chr1SNP264 1 9.835617
Chr1SNP296 1 11.70959
Chr1SNP300 1 11.830137
Chr1SNP304 1 12.049316
Chr1SNP307 1 12.213699
Chr1SNP312 1 12.454795
Chr1SNP331 1 13.715069
Chr1SNP355 1 14.854795
Chr1SNP364 1 15.20548
Chr1SNP379 1 15.80822
Chr1SNP393 1 16.421918
Chr1SNP398 1 16.60822
Chr1SNP406 1 16.915069
Chr1SNP419 1 17.40822
Chr1SNP420 1 17.430137
Chr1SNP426 1 17.572603
Chr1SNP429 1 17.693151
Chr1SNP459 1 18.668494
Chr1SNP463 1 18.931507
Chr1SNP466 1 18.997261
Chr1SNP472 1 19.293151
Chr1SNP490 1 19.884932
Chr1SNP510 1 21.024658
Chr1SNP545 1 21.967124
Chr1SNP554 1 22.295891
Chr1SNP611 1 25.331507
Chr1SNP672 1 27.994521
Chr1SNP686 1 28.542466
Chr1SNP709 1 29.671233
Chr1SNP720 1 30.547946
Chr1SNP780 1 32.531507
Chr1SNP784 1 32.673973
Chr1SNP789 1 32.860274
Chr1SNP812 1 33.989042
Chr1SNP814 1 34.021918
Chr1SNP823 1 34.558905
Chr1SNP865 1 36.323288
Chr1SNP891 1 37.495891
Chr1SNP949 1 41.013699
Chr1SNP976 1 42.547946
Chr1SNP982 1 42.887672
Chr1SNP1027 1 45.473973
Chr1SNP1032 1 45.561644
Chr1SNP1052 1 46.515069
Chr1SNP1079 1 48.345206
Chr1SNP1113 1 49.736987
Chr1SNP1143 1 51.00822
Chr1SNP1157 1 51.610959
Chr1SNP1165 1 51.841096
Chr1SNP1196 1 60.575343
Chr1SNP1211 1 61.561644
Chr1SNP1217 1 73.736987
Chr1SNP1245 1 75.578083
Chr1SNP1298 1 77.287672
Chr1SNP1307 1 77.791781
Chr1SNP1324 1 78.416439
Chr1SNP1337 1 79.10685
Chr1SNP1347 1 79.413699
Chr2SNP3 2 0.093151
Chr2SNP5 2 0.115069
Chr2SNP49 2 1.079453
Chr2SNP107 2 2.712329
Chr2SNP112 2 2.876713
Chr2SNP162 2 4.235617
Chr2SNP177 2 4.564384
Chr2SNP196 2 5.046576
Chr2SNP253 2 6.394521
Chr2SNP267 2 6.767124
Chr2SNP290 2 7.490411
Chr2SNP296 2 7.654795
Chr2SNP302 2 7.830137
Chr2SNP303 2 7.852055
Chr2SNP319 2 8.454795
Chr2SNP346 2 9.342466
Chr2SNP381 2 10.350685
Chr2SNP397 2 10.778083
Chr2SNP411 2 11.117809
Chr2SNP438 2 11.950685
Chr2SNP465 2 12.980822
Chr2SNP475 2 13.232877
Chr2SNP489 2 13.813699
Chr2SNP502 2 14.186302
Chr2SNP514 2 14.613699
Chr2SNP559 2 16.378083
Chr2SNP565 2 16.761644
Chr2SNP581 2 17.331507
Chr2SNP610 2 18.789042
Chr2SNP622 2 19.20548
Chr2SNP651 2 20.421918
Chr2SNP657 2 20.684932
Chr2SNP659 2 20.728768
Chr2SNP680 2 21.441096
Chr2SNP703 2 22.438357
Chr2SNP706 2 22.493151
Chr2SNP709 2 22.591781
Chr2SNP720 2 23.041096
Chr2SNP761 2 24.520548
Chr2SNP773 2 25.057535
Chr2SNP776 2 25.178083
Chr2SNP794 2 25.824658
Chr2SNP850 2 30.40548
Chr2SNP858 2 30.778083
Chr2SNP879 2 31.884932
Chr2SNP906 2 32.838357
Chr2SNP908 2 32.871233
Chr2SNP932 2 33.550685
Chr2SNP934 2 33.616439
Chr2SNP946 2 34.054795
Chr2SNP956 2 34.328768
Chr2SNP961 2 34.482192
Chr2SNP1021 2 36.356165
Chr2SNP1071 2 38.317809
Chr2SNP1107 2 39.567124
Chr2SNP1131 2 40.728768
Chr2SNP1137 2 40.860274
Chr2SNP1161 2 41.660274
Chr2SNP1164 2 41.879453
Chr2SNP1165 2 41.923288
Chr2SNP1172 2 42.098631
Chr2SNP1180 2 42.197261
Chr2SNP1195 2 42.843836
Chr2SNP1231 2 43.983562
Chr2SNP1232 2 43.994521
Chr2SNP1235 2 44.126028
Chr2SNP1256 2 44.947946
Chr2SNP1257 2 44.969864
Chr2SNP1284 2 45.989042
Chr2SNP1286 2 46.021918
Chr2SNP1325 2 47.610959
Chr2SNP1341 2 48.410959
Chr2SNP1354 2 48.882192
Chr2SNP1374 2 49.550685
Chr2SNP1387 2 49.956165
Chr2SNP1415 2 50.865754
Chr2SNP1420 2 51.041096
Chr2SNP1432 2 51.6
Chr2SNP1468 2 53.232877
Chr2SNP1492 2 54.263014
Chr2SNP1499 2 54.416439
Chr2SNP1513 2 54.876713
Chr2SNP1520 2 55.019179
Chr2SNP1560 2 56.279453
Chr2SNP1581 2 56.980822
Chr2SNP1584 2 57.068494
Chr2SNP1628 2 58.438357
Chr2SNP1672 2 59.797261
Chr2SNP1695 2 60.345206
Chr2SNP1704 2 60.695891
Chr2SNP1733 2 61.419179
Chr2SNP1749 2 61.90137
Chr2SNP1753 2 62.021918
Chr2SNP1755 2 62.054795
Chr2SNP1759 2 62.153425
Chr2SNP1763 2 62.350685
Chr2SNP1786 2 62.931507
Chr2SNP1788 2 62.953425
Chr2SNP1876 2 65.517809
Chr2SNP1921 2 66.865754
Chr2SNP1925 2 66.90959
Chr2SNP1938 2 67.260274
Chr2SNP1944 2 67.391781
Chr2SNP1967 2 68.126028
Chr2SNP2002 2 69.200001
Chr2SNP2012 2 69.594521
Chr2SNP2027 2 70.010959
Chr2SNP2058 2 71.347946
Chr2SNP2111 2 73.112329
Chr2SNP2118 2 73.254795
Chr2SNP2125 2 73.550685
Chr2SNP2204 2 75.841096
Chr2SNP2221 2 76.30137
Chr2SNP2250 2 77.090411
Chr2SNP2254 2 77.145206
Chr2SNP2297 2 78.493151
Chr2SNP2300 2 78.657535
Chr2SNP2330 2 79.578083
Chr2SNP2338 2 79.841096
Chr2SNP2343 2 79.994521
Chr3SNP34 3 1.276713
Chr3SNP39 3 1.517809
Chr3SNP40 3 1.660274
Chr3SNP62 3 2.526028
Chr3SNP68 3 2.668494
Chr3SNP89 3 3.479453
Chr3SNP115 3 4.443836
Chr3SNP118 3 4.50959
Chr3SNP148 3 5.473973
Chr3SNP152 3 5.583562
Chr3SNP163 3 6.098631
Chr3SNP190 3 6.975343
Chr3SNP197 3 7.139727
Chr3SNP204 3 7.336987
Chr3SNP219 3 7.698631
Chr3SNP233 3 8.169864
Chr3SNP243 3 8.50959
Chr3SNP270 3 9.572603
Chr3SNP279 3 9.989042
Chr3SNP314 3 11.041096
Chr3SNP317 3 11.10685
Chr3SNP329 3 11.578083
Chr3SNP337 3 11.786302
Chr3SNP341 3 11.961644
Chr3SNP348 3 12.454795
Chr3SNP355 3 12.739727
Chr3SNP361 3 12.915069
Chr3SNP373 3 13.320548
Chr3SNP402 3 14.547946
Chr3SNP434 3 15.654795
Chr3SNP442 3 16.00548
Chr3SNP449 3 16.213699
Chr3SNP463 3 16.695891
Chr3SNP480 3 17.134247
Chr3SNP492 3 17.495891
Chr3SNP539 3 19.139727
Chr3SNP555 3 19.610959
Chr3SNP588 3 20.838357
Chr3SNP596 3 20.980822
Chr3SNP618 3 21.649316
Chr3SNP622 3 21.780822
Chr3SNP623 3 21.791781
Chr3SNP640 3 22.284932
Chr3SNP649 3 22.580822
Chr3SNP654 3 22.745206
Chr3SNP655 3 22.8
Chr3SNP670 3 23.128768
Chr3SNP687 3 23.621918
Chr3SNP716 3 24.60822
Chr3SNP723 3 25.013699
Chr3SNP728 3 25.2
Chr3SNP734 3 25.40822
Chr3SNP741 3 25.594521
Chr3SNP760 3 26.219179
Chr3SNP786 3 27.216439
Chr3SNP801 3 27.80822
Chr3SNP825 3 28.936987
Chr3SNP852 3 29.660274
Chr3SNP894 3 31.095891
Chr3SNP929 3 32.049316
Chr3SNP932 3 32.126028
Chr3SNP967 3 33.10137
Chr3SNP970 3 33.298631
Chr3SNP987 3 33.747946
Chr3SNP1008 3 34.20822
Chr3SNP1079 3 36.652055
Chr3SNP1092 3 36.991781
Chr3SNP1111 3 37.495891
Chr3SNP1183 3 39.556165
Chr3SNP1188 3 39.676713
Chr3SNP1190 3 39.731507
Chr3SNP1194 3 39.841096
Chr3SNP1204 3 40.115069
Chr3SNP1229 3 40.728768
Chr3SNP1238 3 40.980822
Chr3SNP1246 3 41.298631
Chr3SNP1261 3 41.747946
Chr3SNP1266 3 41.835617
Chr3SNP1272 3 42.120548
Chr3SNP1280 3 42.394521
Chr3SNP1286 3 42.591781
Chr3SNP1303 3 42.997261
Chr3SNP1313 3 43.391781
Chr3SNP1364 3 44.575343
Chr3SNP1368 3 44.695891
Chr3SNP1369 3 44.717809
Chr3SNP1381 3 45.00274
Chr3SNP1394 3 45.375343
Chr3SNP1425 3 46.383562
Chr3SNP1448 3 46.953425
Chr3SNP1454 3 47.095891
Chr3SNP1477 3 47.512329
Chr3SNP1490 3 47.819179
Chr3SNP1527 3 49.046576
Chr3SNP1539 3 49.473973
Chr3SNP1542 3 49.50685
Chr3SNP1570 3 50.569864
Chr3SNP1583 3 51.030137
Chr3SNP1590 3 51.227398
Chr3SNP1628 3 52.30137
Chr3SNP1648 3 52.761644
Chr3SNP1662 3 53.243836
Chr3SNP1676 3 53.616439
Chr3SNP1684 3 53.879453
Chr3SNP1718 3 55.019179
Chr3SNP1740 3 55.610959
Chr3SNP1749 3 55.90685
Chr3SNP1777 3 57.013699
Chr3SNP1805 3 58
Chr3SNP1818 3 58.591781
Chr3SNP1834 3 58.898631
Chr3SNP1842 3 59.183562
Chr3SNP1846 3 59.326028
Chr3SNP1847 3 59.336987
Chr3SNP1865 3 59.753425
Chr3SNP1872 3 59.884932
Chr3SNP1885 3 60.389042
Chr3SNP1891 3 60.542466
Chr3SNP1895 3 60.652055
Chr3SNP1922 3 61.430137
Chr3SNP1937 3 61.715069
Chr3SNP1948 3 62.010959
Chr3SNP1977 3 62.734247
Chr3SNP2001 3 63.643836
Chr3SNP2009 3 63.775343
Chr3SNP2012 3 63.841096
Chr3SNP2013 3 63.852055
Chr3SNP2104 3 66.843836
Chr3SNP2153 3 68.334247
Chr3SNP2156 3 68.432877
Chr3SNP2199 3 69.715069
Chr3SNP2213 3 70.076713
Chr3SNP2215 3 70.131507
Chr3SNP2224 3 70.317809
Chr3SNP2235 3 70.679453
Chr3SNP2292 3 73.024658
Chr3SNP2310 3 73.638357
Chr3SNP2312 3 73.682192
Chr3SNP2351 3 74.865754
Chr3SNP2378 3 75.567124
Chr3SNP2385 3 75.753425
Chr3SNP2406 3 76.50959
Chr3SNP2423 3 76.969864
Chr3SNP2459 3 77.890411
Chr3SNP2501 3 79.150685
Chr4SNP1 4 0.027398
Chr4SNP40 4 1.320548
Chr4SNP46 4 1.441096
Chr4SNP56 4 1.638357
Chr4SNP152 4 4.652055
Chr4SNP195 4 6.263014
Chr4SNP196 4 6.328768
Chr4SNP205 4 6.624658
Chr4SNP227 4 7.260274
Chr4SNP278 4 8.783562
Chr4SNP283 4 8.926028
Chr4SNP284 4 8.969864
Chr4SNP306 4 9.824658
Chr4SNP327 4 10.317809
Chr4SNP335 4 10.471233
Chr4SNP349 4 10.920548
Chr4SNP373 4 11.523288
Chr4SNP381 4 11.698631
Chr4SNP386 4 11.797261
Chr4SNP401 4 12.290411
Chr4SNP434 4 13.276713
Chr4SNP476 4 14.712329
Chr4SNP481 4 14.854795
Chr4SNP505 4 15.742466
Chr4SNP523 4 16.443836
Chr4SNP557 4 17.70411
Chr4SNP586 4 18.60274
Chr4SNP622 4 19.687672
Chr4SNP643 4 20.246576
Chr4SNP658 4 20.619179
Chr4SNP706 4 22.065754
Chr4SNP724 4 22.690411
Chr4SNP790 4 24.619179
Chr4SNP791 4 24.630137
Chr4SNP795 4 24.728768
Chr4SNP802 4 24.958905
Chr4SNP820 4 25.517809
Chr4SNP837 4 26.032877
Chr4SNP853 4 26.854795
Chr4SNP854 4 26.887672
Chr4SNP855 4 26.975343
Chr4SNP856 4 26.986302
Chr4SNP860 4 27.073973
Chr4SNP872 4 27.457535
Chr4SNP881 4 27.731507
Chr4SNP908 4 28.454795
Chr4SNP920 4 28.816439
Chr4SNP966 4 30.197261
Chr4SNP983 4 30.898631
Chr4SNP1009 4 31.939727
Chr4SNP1033 4 33.10137
Chr4SNP1051 4 33.912329
Chr4SNP1057 4 34.087672
Chr4SNP1067 4 34.526028
Chr4SNP1079 4 35.654795
Chr4SNP1099 4 36.630137
Chr4SNP1101 4 36.761644
Chr4SNP1118 4 37.835617
Chr4SNP1152 4 39.797261
Chr4SNP1156 4 39.983562
Chr4SNP1232 4 44.60822
Chr4SNP1253 4 45.649316
Chr4SNP1288 4 47.052055
Chr4SNP1299 4 47.446576
Chr4SNP1340 4 48.794521
Chr4SNP1354 4 49.167124
Chr4SNP1355 4 49.178083
