Marker Chrom Pos_start
Chr1SNP1 1 0.00548
Chr1SNP3 1 0.027398
Chr1SNP4 1 0.038357
Chr1SNP15 1 0.158905
Chr1SNP16 1 0.169864
Chr1SNP21 1 0.224658
Chr1SNP26 1 0.279453
Chr1SNP29 1 0.312329
Chr1SNP30 1 0.323288
Chr1SNP32 1 0.345206
Chr1SNP34 1 0.367124
Chr1SNP41 1 0.443836
Chr1SNP44 1 0.476713
Chr1SNP48 1 0.520548
Chr1SNP52 1 0.564384
Chr1SNP57 1 0.619179
Chr1SNP63 1 0.684932
Chr1SNP71 1 0.772603
Chr1SNP72 1 0.783562
Chr1SNP76 1 0.827398
Chr1SNP77 1 0.838357
Chr1SNP82 1 0.893151
Chr1SNP83 1 0.90411
Chr1SNP86 1 0.936987
Chr1SNP87 1 0.947946
Chr1SNP88 1 0.958905
Chr1SNP90 1 0.980822
Chr1SNP94 1 1.024658
Chr1SNP95 1 1.035617
Chr1SNP97 1 1.057535
Chr1SNP100 1 1.090411
Chr1SNP102 1 1.112329
Chr1SNP104 1 1.134247
Chr1SNP108 1 1.178083
Chr1SNP111 1 1.210959
Chr1SNP113 1 1.232877
Chr1SNP115 1 1.254795
Chr1SNP117 1 1.276713
Chr1SNP119 1 1.298631
Chr1SNP125 1 1.364384
Chr1SNP128 1 1.397261
Chr1SNP131 1 1.430137
Chr1SNP134 1 1.463014
Chr1SNP136 1 1.484932
Chr1SNP137 1 1.495891
Chr1SNP138 1 1.50685
Chr1SNP142 1 1.550685
Chr1SNP143 1 1.561644
Chr1SNP144 1 1.572603
Chr1SNP148 1 1.616439
Chr1SNP149 1 1.627398
Chr1SNP155 1 1.693151
Chr1SNP157 1 1.715069
Chr1SNP159 1 1.736987
Chr1SNP160 1 1.747946
Chr1SNP161 1 1.758905
Chr1SNP164 1 1.791781
Chr1SNP165 1 1.80274
Chr1SNP170 1 1.857535
Chr1SNP178 1 1.945206
Chr1SNP180 1 1.967124
Chr1SNP182 1 1.989042
Chr1SNP185 1 2.021918
Chr1SNP190 1 2.076713
Chr1SNP201 1 2.197261
Chr1SNP209 1 2.284932
Chr1SNP213 1 2.328768
Chr1SNP214 1 2.339727
Chr1SNP216 1 2.361644
Chr1SNP219 1 2.394521
Chr1SNP221 1 2.416439
Chr1SNP222 1 2.427398
Chr1SNP224 1 2.449316
Chr1SNP226 1 2.471233
Chr1SNP227 1 2.482192
Chr1SNP229 1 2.50411
Chr1SNP237 1 2.591781
Chr1SNP240 1 2.624658
Chr1SNP241 1 2.635617
Chr1SNP242 1 2.646576
Chr1SNP244 1 2.668494
Chr1SNP247 1 2.70137
Chr1SNP249 1 2.723288
Chr1SNP257 1 2.810959
Chr1SNP262 1 2.865754
Chr1SNP269 1 2.942466
Chr1SNP271 1 2.964384
Chr1SNP272 1 2.975343
Chr1SNP274 1 2.997261
Chr1SNP275 1 3.00822
Chr1SNP276 1 3.019179
Chr1SNP279 1 3.052055
Chr1SNP281 1 3.073973
Chr1SNP284 1 3.10685
Chr1SNP286 1 3.128768
Chr1SNP287 1 3.139727
Chr1SNP290 1 3.172603
Chr1SNP291 1 3.183562
Chr1SNP298 1 3.260274
Chr1SNP299 1 3.271233
Chr1SNP302 1 3.30411
Chr1SNP304 1 3.326028
Chr1SNP309 1 3.380822
Chr1SNP312 1 3.413699
Chr1SNP315 1 3.446576
Chr1SNP320 1 3.50137
Chr1SNP323 1 3.534247
Chr1SNP326 1 3.567124
Chr1SNP328 1 3.589042
Chr1SNP329 1 3.6
Chr1SNP334 1 3.654795
Chr1SNP340 1 3.720548
Chr1SNP342 1 3.742466
Chr1SNP348 1 3.80822
Chr1SNP349 1 3.819179
Chr1SNP350 1 3.830137
Chr1SNP351 1 3.841096
Chr1SNP353 1 3.863014
